user,room,weight,consumption
1677,218,14,28.0
1678,537,284,3373.8
1678,207,4,0.2
1678,310,7,0.7
1678,46,191,0.0
1679,537,437,1156.6
1679,192,3,150.0
1679,109,21,1.0
1680,537,182,2087.2
1680,397,3,2800.0
1681,537,84,59.2
1687,207,33,7.6
1687,260,4,0.2
1687,359,108,52.0
1687,591,4,27.0
1688,6,178,1646.9
1688,16,7,56.0
1689,6,25,15.0
1695,262,2,3.0
1695,591,10,8.8
1697,222,4,0.1
1697,109,2,0.2
1697,204,11,13.6
1697,75,30,53.3
1698,485,149,90.1
1700,900,1,0.1
1700,119,4,0.1
1700,46,11,0.1
1701,346,15,45.5
1707,26,52,0.2
1707,33,3,6.2
1708,26,138,34.8
1708,53,22,1.2
1709,47,2,0.1
1709,260,4,3.2
1709,570,405,242.6
1709,175,1,2.0
1710,207,1,0.1
1710,440,82,846.6
1710,486,2,0.1
1712,154,3,0.3
1712,346,6,9.2
38976,204,16,31.5
1714,26,30,69.4
1716,61,30,5.8
1716,33,2,0.1
1716,74,5,0.5
1719,148,20,1.4
1722,875,112,31.5
1723,31,30,57.8
1727,328,40,0.0
1728,1,496,1020.2
1728,360,76,328.5
1729,570,36,47.3
1729,429,12,102.1
1748,877,75,23.1
1753,175,11,12.9
1753,922,8,1.7
1753,474,4,2.3
1756,491,5,30.0
1756,444,4,24.0
1758,27,10,2.9
1758,35,8,0.8
1758,572,10,1.9
1759,2,17,0.0
1760,117,1,0.0
1760,877,4,0.4
1760,373,132,13.2
1760,702,45,4.4
1760,766,170,24.5
1761,594,29,2.4
1761,16,39,5.1
1763,222,2,0.2
1763,346,38,47.8
38977,1,14,22.1
1766,33,22,23.0
1772,441,58,14.1
1772,891,1,20.0
1773,61,1,0.1
1773,31,55,87.6
1775,26,1,0.1
1775,29,2,0.2
1775,33,1,0.1
1775,35,2,0.2
1775,36,2,0.2
1775,222,1,0.1
1775,175,2,0.2
1775,40,1,0.1
1775,109,2,0.2
38978,53,39,3.9
1785,14,10,1.0
1787,31,91,56.8
1790,6,8,130.0
1791,216,1,0.0
1791,77,2,10.0
1791,284,111,438.5
1793,35,21,0.0
1793,6,16,746.3
1793,139,3,300.0
1794,175,8,22.0
1797,503,31,11.7
1797,490,6,0.3
1797,368,10,6.4
1800,108,3,116.0
1800,13,56,222.4
1800,43,4,2.0
1810,329,96,200.7
1813,532,38,36.1
1814,549,68,82.8
1819,327,51,129.6
1819,73,8,0.8
1820,53,160,0.0
1824,327,56,892.2
1835,382,58,1.1
1835,46,42,18.8
38979,40,24,0.7
1843,848,12,48.0
1847,346,32,73.2
1851,760,30,66.0
1855,247,27,0.0
1858,26,78,117.0
1859,26,40,127.9
38980,26,19,1.5
1860,26,52,161.2
1864,26,13,1.3
1864,216,13,1.3
1864,7,24,121.2
1864,40,13,1.3
1864,346,13,1.3
38981,26,17,45.0
1865,26,11,1.0
1869,26,15,83.9
1870,26,15,82.0
1873,26,13,36.0
1873,31,12,47.0
1873,252,13,30.0
1875,114,34,70.5
1876,26,31,66.0
38982,26,22,30.0
1877,175,5,0.5
1877,877,4,0.4
1877,504,3,0.3
1877,397,4,0.4
1879,26,12,2.1
1881,26,26,74.5
1886,26,30,145.5
1888,26,19,16.2
1889,26,26,123.3
38983,26,9,13.5
1890,26,152,100.5
1892,26,12,1.2
1892,61,33,116.6
1892,88,11,1.1
1893,26,36,80.2
1894,26,43,124.2
1895,26,42,140.1
1896,26,12,73.3
1901,26,28,84.0
38984,26,58,54.6
1904,26,93,117.0
1906,29,36,38.3
1906,31,41,0.0
1913,26,16,12.0
1916,26,25,121.4
1917,469,1,0.2
1917,119,18,11.8
1918,26,12,1.2
1919,875,11,60.0
1920,26,12,1.2
1921,26,18,92.0
1922,26,14,4.3
1922,40,12,2.2
38985,26,77,65.8
1925,26,11,108.1
38986,216,29,25.4
1927,26,42,3.2
1930,26,80,114.0
1931,117,1,0.1
1931,204,73,54.9
1932,26,3,7.0
1932,488,3,4.0
1932,299,2,2.0
1936,26,68,147.2
38987,26,205,20.1
38987,36,480,41.7
1939,117,53,46.0
1940,222,12,1.2
1940,53,11,1.1
1942,26,1,60.0
1942,40,36,13.5
1943,26,21,3.9
1945,26,83,98.4
38988,33,8,60.0
1948,26,7,7.5
1948,40,12,14.6
1948,346,15,10.5
1950,26,8,3.5
1952,31,24,12.0
1952,50,9,54.0
1952,40,12,5.2
1957,53,30,115.7
1959,26,48,113.1
1959,53,3,1.0
1961,26,5,0.2
1961,368,4,0.3
1961,116,4,0.3
1961,33,4,0.3
1961,35,6,0.7
1961,60,9,145.3
1961,15,4,0.3
1963,26,74,1.0
1963,33,5,0.5
1963,504,1,0.1
1965,26,21,12.0
1965,346,11,11.0
38989,26,32,100.1
1967,26,27,7.1
1967,38,107,48.1
1969,26,15,62.0
1969,33,1,0.0
1969,35,11,21.0
1969,53,4,0.0
38990,26,26,60.6
1974,26,13,99.0
1978,53,44,10.0
1979,26,18,13.5
1979,40,5,18.0
1979,272,44,25.3
1980,29,27,0.1
1981,26,466,120.2
1982,33,16,46.9
38991,35,14,70.8
1985,26,12,1.2
1987,842,9,18.0
1988,488,15,11.3
1992,26,57,121.0
1994,26,2,0.2
1994,53,8,30.8
38992,26,46,38.0
38993,26,16,72.8
1998,26,46,126.2
1998,216,3,0.3
1998,57,3,0.3
1998,88,3,0.3
1998,135,3,0.3
1998,40,3,0.3
1999,346,21,45.6
2000,26,31,133.0
2000,123,5,0.5
2000,36,2,0.1
2000,40,16,11.0
2000,346,1,0.1
2001,7,15,20.0
2002,26,40,84.0
2004,26,9,64.0
2006,26,12,110.2
2007,119,38,143.3
2009,26,78,45.1
2010,26,16,177.2
2011,107,10,0.0
2012,26,52,148.6
2016,26,77,31.3
2017,26,3,0.3
2017,161,3,0.3
2017,7,3,0.3
2017,38,3,0.3
2017,53,380,196.0
2022,177,16,138.2
2022,469,2,0.2
2022,119,2,0.2
2022,120,2,0.2
2022,371,2,0.2
2022,113,2,0.2
