user,room,weight
66622,33,41
66622,53,186
533,89,1
533,143,7
66623,29,5
66623,31,32
66623,33,12
66623,247,8
38818,216,17
38818,33,1
38818,488,6
38818,52,1
66624,114,28
66624,84,10
66624,33,16
66624,37,3
66624,107,13
66624,175,4
66624,71,9
66624,272,1
66625,35,30
536,57,4
536,58,4
536,242,10
38819,368,3
38819,35,11
38819,74,4
38819,143,45
38819,248,15
539,36,4
539,247,3
539,95,4
539,109,1
66626,346,17
66627,33,36
66628,84,5
66628,36,19
66628,37,15
66628,38,1
553,29,152
553,31,1
553,33,2
555,33,28
555,109,4
556,160,1
556,33,1
556,107,2
556,247,1
556,95,1
556,400,1
556,104,2
560,114,1
560,33,8
560,35,4
560,36,1
560,107,3
560,247,20
560,109,6
560,248,1
66629,37,9
563,29,18
563,33,5
563,35,5
563,36,71
563,37,1
563,247,1
563,71,5
563,109,24
563,213,3
564,29,4
564,31,117
564,368,6
38821,26,5
38821,106,1
38821,33,2
38821,35,89
38821,53,7
66630,57,1
66630,89,39
66631,115,10
66632,33,21
66632,109,1
66633,33,27
66633,109,1
66634,216,1
66634,529,30
66634,7,1
567,29,26
567,31,6
567,33,1
567,214,8
571,57,2
571,7,1
571,107,45
571,141,4
571,69,20
572,122,27
575,57,1
575,58,7
576,133,1
576,88,10
576,122,17
576,247,1
576,175,1
576,126,3
577,29,19
577,35,3
66635,29,24
66635,31,4
583,160,204
584,84,7
584,115,2
584,137,1
584,175,2
584,117,5
584,256,12
584,479,24
584,126,12
584,259,1
585,59,10
585,247,2
66636,29,15
66636,33,13
66636,35,2
66636,222,1
66636,107,15
66636,175,1
66636,109,11
66637,114,32
587,231,2
587,143,8
589,28,2
589,29,14
589,31,4
66638,33,21
66638,109,1
66639,88,17
38824,93,9
593,29,1
593,31,2
593,160,3
593,33,15
593,71,3
593,109,24
66640,57,1
66640,33,21
66640,36,1
594,29,2
594,31,10
594,33,1
594,175,35
597,210,63
600,40,27
601,111,12
66641,71,10
66642,33,2
66642,107,6
603,33,19
66643,33,8
604,33,3
604,58,19
604,175,2
604,109,12
605,162,1
605,167,32
605,53,4
66644,33,6
66644,175,5
66644,108,1
66645,29,23
66645,320,1
66645,33,190
66646,33,12
609,407,3
609,232,2
609,246,1
609,137,1
609,508,1
66647,33,7
66647,175,1
66647,71,1
66647,69,1
66648,247,1
66648,175,9
66649,33,134
66649,71,3
66649,109,8
66650,33,1
66650,88,2
66650,122,1
66650,162,1
66650,222,130
66651,33,40
66651,122,32
66651,107,70
66651,109,1
66652,31,2
66652,95,20
66652,149,8
66653,33,5
66653,107,2
66653,71,1
66653,109,2
66654,33,11
66654,247,1
66654,71,3
66654,108,1
66654,109,1
615,29,1
615,31,6
615,84,6
615,33,2
615,222,1
615,126,2
66655,33,47
66655,122,1
66655,107,5
66655,71,22
66655,109,3
66656,33,172
66656,109,66
616,84,9
616,88,1
616,210,2
616,204,1
66657,31,5
66657,74,2
66657,40,27
66658,26,1
66658,160,1
66658,33,1
66658,35,26
66658,107,2
621,67,16
66659,29,10
66659,31,63
66660,33,322
66660,107,1
66660,71,4
66660,109,22
624,115,42
624,33,50
624,162,9
624,117,9
624,109,8
624,102,3
66661,33,13
66661,71,3
66661,108,1
66661,109,1
66661,67,1
66662,33,11
66662,109,1
66663,29,1
66663,33,13
66663,35,1
66663,58,15
66663,109,1
632,508,10
38830,31,27
38830,222,3
38830,40,2
66664,33,22
66664,108,6
66665,33,26
66666,71,15
66666,109,1
66667,33,8
66667,71,3
66667,109,1
634,228,2
634,479,5
634,204,1
637,33,10
637,36,65
637,109,34
637,54,1
637,19,51
637,110,1
66668,33,12
639,33,12
639,109,19
640,29,4
640,31,10
640,33,3
641,33,31
641,175,5
642,33,8
642,35,2
642,51,6
642,71,1
66669,31,6
66669,160,3
66669,33,27
66669,71,3
649,88,52
652,33,35
652,71,3
652,108,1
652,109,9
653,133,1
653,86,7
653,368,2
653,37,1
653,322,1
653,235,1
653,143,4
653,369,1
66670,29,61
66670,31,77
66670,88,7
66670,35,24
66670,7,3
66671,106,14
66671,33,17
66671,222,1
656,38,66
