user,room,weight
271,1486,1
271,733,13
271,647,2
271,973,1
271,1580,1
271,1196,8
271,1513,1
271,381,2
271,701,23
271,494,3
271,1328,1
271,964,1
271,479,3
271,1224,5
271,58,3
271,1317,5
271,858,1
271,1363,7
271,1422,5
271,1390,11
271,1431,3
271,656,12
271,1586,1
271,1147,1
271,1195,6
271,837,1
271,1148,4
271,1418,4
271,1145,5
271,693,18
271,1438,2
271,723,3
271,663,4
271,1242,3
271,1238,1
271,759,9
271,1397,18
271,1216,3
271,242,1
271,1410,1
271,366,1
271,1373,4
271,487,3
271,1351,3
271,1492,5
271,1541,3
271,936,4
271,886,21
271,1314,15
271,1249,6
271,1455,5
271,1427,7
271,1400,4
271,1471,1
271,1227,8
271,510,6
271,894,3
271,390,4
271,1504,19
271,1477,13
271,1615,1
271,1033,1
271,703,7
271,474,2
271,442,1
271,828,2
271,1452,2
271,1144,12
271,1170,9
271,458,5
271,844,1
271,1445,1
271,927,3
271,866,7
271,1569,3
271,451,2
271,373,5
271,369,1
271,734,8
271,1203,5
271,1480,6
271,991,1
271,467,3
271,1175,8
271,349,12
271,1432,13
271,1493,1
271,1483,10
271,1250,10
271,1281,7
271,961,2
271,1137,1
271,779,1
271,940,4
271,412,7
271,976,32
271,1391,11
271,1202,3
271,592,28
271,1413,5
271,389,1
271,1584,2
271,1506,5
271,1575,1
271,1651,4
271,1499,2
271,1209,4
271,885,5
271,679,1
271,732,18
271,788,3
271,799,3
271,1679,11
271,352,3
271,391,5
271,398,16
271,714,2
271,1095,1
271,127,2
271,917,2
271,746,2
271,433,28
271,842,5
271,1089,1
271,1221,11
271,69,1
271,840,6
271,1630,1
271,740,7
271,985,6
271,1353,2
271,102,2
271,1502,2
271,845,1
271,670,1
271,1482,3
271,1382,10
271,800,3
271,1241,3
271,883,2
271,741,2
271,1429,2
271,420,4
271,915,7
271,350,10
271,712,9
271,1158,2
271,1220,15
271,478,6
271,758,1
271,363,12
271,1279,5
271,1254,23
271,1313,1
271,831,6
271,1439,12
271,1426,15
271,1332,11
271,1462,13
271,499,12
271,970,1
271,1272,2
271,860,16
271,923,4
271,1554,7
271,784,15
271,1207,39
271,1023,2
271,355,9
271,447,16
271,1343,10
271,1289,8
271,807,2
271,876,1
271,1078,1
271,781,3
271,802,19
271,1436,10
271,1674,19
271,469,8
271,1629,5
271,704,37
271,1073,7
271,1484,24
271,1305,5
271,878,7
271,1232,7
271,461,15
271,1556,3
271,1467,15
271,452,31
271,1286,33
271,1231,31
271,764,6
271,143,7
271,77,4
271,861,11
271,926,1
271,1691,1
271,1521,32
271,1412,20
271,793,6
271,1705,9
271,736,54
271,919,18
271,980,30
271,1010,5
271,918,19
271,922,18
271,1324,9
271,1488,10
271,1260,16
271,1677,6
271,91,1
271,1406,4
271,1346,16
49390,1101,13
49390,703,31
90492,1190,8
8435,404,8
2722,1125,5
2722,1465,4
2722,350,1
92086,1138,14
67083,1138,11
23677,789,12
77216,1161,13
83584,1200,8
64000,1190,9
98801,1200,27
78074,1104,11
28355,669,14
28355,1161,21
43290,642,43
69679,1101,213
96019,1101,8
66523,1120,8
43491,665,26
11379,305,32
78110,1101,109
17943,749,15
8048,351,11
81192,1190,19
76100,1190,10
107836,1178,23
63732,1138,12
50630,642,17
17972,670,12
78357,1277,8
20144,690,20
50371,703,12
82007,1149,5
82007,1159,3
26282,670,10
